id,hotel_cluster
1713,"[29, 67, 82, 62, 61]"
1713,"[91, 41, 48, 64, 65]"
20759,"[90, 59, 95, 30, 5]"
24127,"[55, 9, 21, 18, 68]"
43328,"[30, 91, 41, 48, 64]"
43328,"[91, 41, 48, 64, 65]"
43328,"[13, 91, 41, 48, 64]"
43328,"[95, 42, 91, 4, 16]"
43328,"[76, 85, 30, 91, 41]"
43328,"[91, 41, 48, 64, 65]"
43328,"[91, 41, 48, 64, 65]"
53306,"[94, 33, 76, 77, 28]"
57539,"[47, 37, 28, 90, 39]"
69003,"[2, 36, 49, 59, 28]"
69003,"[59, 46, 95, 75, 68]"
69003,"[17, 73, 25, 98, 37]"
69003,"[17, 73, 25, 98, 37]"
69003,"[98, 97, 64, 68, 2]"
69003,"[98, 97, 64, 68, 2]"
69003,"[59, 97, 46, 78, 91]"
69003,"[97, 25, 70, 98, 64]"
69003,"[59, 48, 5, 29, 37]"
69003,"[58, 64, 2, 25, 6]"
69003,"[77, 91, 41, 48, 64]"
69003,"[17, 73, 25, 98, 37]"
70663,"[70, 39, 98, 19, 21]"
73944,"[8, 43, 40, 94, 51]"
73944,"[84, 34, 96, 0, 99]"
73944,"[43, 8, 40, 94, 51]"
73944,"[84, 34, 96, 0, 99]"
73944,"[84, 34, 96, 0, 99]"
73944,"[8, 43, 40, 94, 51]"
73944,"[8, 43, 40, 94, 51]"
73944,"[8, 43, 40, 94, 51]"
73944,"[8, 43, 40, 94, 51]"
73944,"[8, 43, 40, 94, 51]"
73944,"[28, 95, 25, 59, 91]"
73944,"[34, 48, 84, 7, 96]"
76268,"[91, 41, 48, 64, 65]"
76689,"[17, 73, 99, 91, 41]"
77040,"[31, 77, 71, 17, 90]"
77040,"[31, 77, 71, 17, 90]"
78773,"[30, 82, 58, 64, 2]"
81357,"[8, 22, 20, 35, 5]"
81357,"[8, 97, 91, 41, 48]"
81357,"[8, 91, 41, 48, 64]"
81357,"[8, 97, 91, 41, 48]"
81357,"[8, 22, 20, 35, 5]"
81357,"[65, 52, 31, 66, 10]"
82890,"[46, 58, 27, 29, 97]"
82890,"[91, 41, 48, 64, 65]"
86489,"[8, 22, 20, 35, 5]"
86489,"[50, 28, 56, 33, 51]"
86674,"[82, 62, 30, 36, 59]"
87044,"[47, 42, 32, 31, 80]"
87044,"[43, 91, 41, 48, 64]"
87044,"[70, 98, 68, 91, 41]"
87044,"[70, 98, 68, 91, 41]"
87507,"[46, 11, 81, 64, 61]"
88024,"[69, 94, 41, 19, 91]"
91921,"[48, 91, 42, 28, 16]"
91921,"[28, 29, 18, 7, 91]"
91921,"[28, 29, 18, 7, 91]"
91921,"[46, 36, 58, 12, 29]"
92506,"[91, 95, 69, 13, 94]"
92506,"[50, 91, 41, 48, 64]"
96354,"[91, 41, 48, 64, 65]"
96354,"[39, 31, 91, 4, 19]"
96354,"[98, 70, 41, 56, 72]"
96354,"[8, 91, 41, 48, 64]"
96838,"[91, 41, 48, 64, 65]"
97871,"[91, 41, 48, 64, 65]"
98179,"[91, 11, 18, 99, 72]"
98179,"[91, 11, 18, 99, 72]"
98179,"[6, 91, 11, 18, 99]"
